batch_timestamp,runname,camera,n_files,n_ok,elapsed_s,fps,source
2026-08-17,weekend,main_camera,3966,3966,691.41,5.7,E:\Reverse Telescope Test Data\20250919_data\weekend\weekend_fits
2026-08-17,minutely,main_camera,288,288,63.54,4.5,E:\Reverse Telescope Test Data\20250922_data\minutely\minutely_fits
2026-08-17,morning5237,main_camera,9445,9445,1931.0,4.9,E:\Reverse Telescope Test Data\20250922_data\morning5237\morning5237_fits
2026-08-17,bigshakeA,main_camera,9373,9373,2315.2,4.0,E:\Reverse Telescope Test Data\20250923_data\bigshakeA\bigshakeA_fits
2026-08-17,bigshakeB,main_camera,3542,3542,908.82,3.9,E:\Reverse Telescope Test Data\20250923_data\bigshakeB\bigshakeB_fits
2026-08-17,fanoff,main_camera,9355,9355,2834.01,3.3,E:\Reverse Telescope Test Data\20250923_data\fanoff\fanoff_fits
2026-08-17,minutely,main_camera,195,195,62.43,3.1,E:\Reverse Telescope Test Data\20250923_data\minutely\minutely_fits
2026-08-17,minutely2,main_camera,1176,1176,360.48,3.3,E:\Reverse Telescope Test Data\20250923_data\minutely2\minutely2_fits
2026-08-17,stabilitytestA,main_camera,3054,3054,77.03,39.6,E:\Reverse Telescope Test Data\20250923_data\stabilitytestA\stabilitytestA_fits
2026-08-17,stabilitytestB,main_camera,3061,3061,859.74,3.6,E:\Reverse Telescope Test Data\20250923_data\stabilitytestB\stabilitytestB_fits
2026-08-17,PostNate,main_camera,1187,1187,242.63,4.9,E:\Reverse Telescope Test Data\20250924_data\PostNate\PostNate_fits
2026-08-17,fanoff5237,main_camera,8799,8799,3148.42,2.8,E:\Reverse Telescope Test Data\20250929_data\fanoff5237\fanoff5237_fits
2026-08-17,morning5237,main_camera,8458,8458,3004.4,2.8,E:\Reverse Telescope Test Data\20250929_data\morning5237\morning5237_fits
2026-08-17,night5237,main_camera,9425,9425,266.74,35.3,E:\Reverse Telescope Test Data\20251027_data\night5237\night5237_fits
2026-08-17,overnight,main_camera,1099,1099,31.59,34.8,E:\Reverse Telescope Test Data\20251027_data\overnight\overnight_fits
2026-08-17,longweekend,main_camera,6970,3556,1072.6,6.5,E:\Reverse Telescope Test Data\20251029_data\longweekend\longweekend_fits
2026-08-17,newcomp,main_camera,9577,9577,243.35,39.4,E:\Reverse Telescope Test Data\20251029_data\newcomp\newcomp_fits
2026-08-17,overnight,main_camera,1090,353,566.08,1.9,E:\Reverse Telescope Test Data\20251105_data\overnight\overnight_fits
2026-08-17,laser,main_camera,5063,5063,134.24,37.7,E:\Reverse Telescope Test Data\20251106_data\laser\laser_fits
2026-08-17,laserdaytest,main_camera,205,205,9.62,21.3,E:\Reverse Telescope Test Data\20251107_data\laserdaytest\laserdaytest_fits
2026-08-17,laserweekend,main_camera,3995,3007,3071.51,1.3,E:\Reverse Telescope Test Data\20251107_data\laserweekend\laserweekend_fits
2026-08-17,fansoff,main_camera,3991,1800,3088.28,1.3,E:\Reverse Telescope Test Data\20251114_data\fansoff\fansoff_fits
